,commit_date,git_project.project_value,transaction.nb_tokens,committer_username,git_project.name
0,2018-10-24T08:27:10+00:00,15055,1.0,gilles-hemmerle,SDG Market (API)
1,2018-10-24T07:52:01+00:00,15055,218.58,gilles-hemmerle,SDG Market (API)
2,2018-10-24T07:26:27+00:00,15055,24.2,gilles-hemmerle,SDG Market (API)
3,2018-10-23T22:14:16+00:00,15055,0.56,gilles-hemmerle,SDG Market (API)
4,2018-10-23T21:46:22+00:00,15055,2.49,gilles-hemmerle,SDG Market (API)
5,2018-10-23T21:46:04+00:00,15055,38.23,gilles-hemmerle,SDG Market (API)
6,2018-10-23T16:21:11+00:00,15055,2.18,,SDG Market (API)
7,2018-10-23T15:39:59+00:00,15055,0.23,,SDG Market (API)
8,2018-10-23T13:10:05+00:00,15055,22.49,,SDG Market (API)
9,2018-10-23T12:45:39+00:00,15055,370.54,,SDG Market (API)
10,2018-10-23T11:48:59+00:00,15055,0.83,,SDG Market (API)
11,2018-10-23T11:47:36+00:00,15055,288.79,gilles-hemmerle,SDG Market (API)
12,2018-10-23T07:09:29+00:00,15055,660.56,gilles-hemmerle,SDG Market (API)
13,2018-10-22T12:54:33+00:00,15055,4447.7,,SDG Market (API)
14,2018-10-22T12:48:56+00:00,15055,5.05,gilles-hemmerle,SDG Market (API)
15,2018-10-22T12:47:56+00:00,15055,256.9,gilles-hemmerle,SDG Market (API)
16,2018-10-22T09:52:18+00:00,15055,32.37,gilles-hemmerle,SDG Market (API)
17,2018-10-22T09:51:42+00:00,15055,317.28,gilles-hemmerle,SDG Market (API)
18,2018-10-22T07:57:24+00:00,15055,0.29,,SDG Market (API)
19,2018-10-19T15:10:00+00:00,15055,437.74,,SDG Market (API)
20,2018-10-19T15:09:18+00:00,15055,16.7,,SDG Market (API)
21,2018-10-19T09:16:35+00:00,15055,413.36,gilles-hemmerle,SDG Market (API)
22,2018-10-19T08:54:03+00:00,15055,11.65,,SDG Market (API)
23,2018-10-16T14:10:05+00:00,15055,27.99,gilles-hemmerle,SDG Market (API)
24,2018-10-16T14:09:13+00:00,15055,230.0,gilles-hemmerle,SDG Market (API)
